Player,Show,Role,Oneshot,Link
Geoff Robinson,"Dice, Camera, Action",Guest,,
Ross O'Donovan,"Dice, Camera, Action",Guest,,
Patrick Rothfuss,"Dice, Camera, Action",Guest,,
Matthew Lillard,"Dice, Camera, Action",Guest,,
Rachel Seeley,"Dice, Camera, Action",Guest,,
Jerry Holkins,"Dice, Camera, Action",Guest,,
,,,,
Amy Vorpahl,Jingles Hearth,DM,Yes,https://www.youtube.com/watch?v=Eb7fU0hdoho
Patrick Rothfuss,Jingles Hearth,Player,Yes,https://www.youtube.com/watch?v=Eb7fU0hdoho
TK Johnson,Jingles Hearth,Player,Yes,https://www.youtube.com/watch?v=Eb7fU0hdoho
Havana Mahoney,Jingles Hearth,Player,Yes,https://www.youtube.com/watch?v=Eb7fU0hdoho
Todd Kenreck,Jingles Hearth,Player,Yes,https://www.youtube.com/watch?v=Eb7fU0hdoho
,,,,
Clint McElroy,Adventure Zone,Player,,
Griffin McElroy,Adventure Zone,Player,,
Justin McElroy,Adventure Zone,Player,,
Travis McElroy,Adventure Zone,Player,,
,,,,
Patrick Rothfuss,Adventure Zone: Elementary,Player,Yes,
Clint McElroy,Adventure Zone: Elementary,Player,Yes,
Griffin McElroy,Adventure Zone: Elementary,Player,Yes,
Justin McElroy,Adventure Zone: Elementary,DM,Yes,
Travis McElroy,Adventure Zone: Elementary,Player,Yes,
,,,,
Lin-Manuel Miranda,Adventure Zone: (K)nights,Player,Yes,
Clint McElroy,Adventure Zone: (K)nights,Player,Yes,
Griffin McElroy,Adventure Zone: (K)nights,Player,Yes,
Justin McElroy,Adventure Zone: (K)nights,Player,Yes,
Travis McElroy,Adventure Zone: (K)nights,DM,Yes,
,,,,
Spencer Crittenden,HarmonQuest,DM,,
Jeff B. Davis,HarmonQuest,Player,,
Erin McGathy,HarmonQuest,Player,,
Dan Harmon,HarmonQuest,Player,,
Paul F. Tompkins,HarmonQuest,Guest,,
Chelsea Peretti,HarmonQuest,Guest,,
Steve Agee,HarmonQuest,Guest,,
Ron Funches,HarmonQuest,Guest,,
Aubrey Plaza,HarmonQuest,Guest,,
John Hodgman,HarmonQuest,Guest,,
Thomas Middleditch,HarmonQuest,Guest,,
Kumail Nanjiani,HarmonQuest,Guest,,
Rhea Butcher,HarmonQuest,Guest,,
Matt Gourley,HarmonQuest,Guest,,
Nathan Fillion,HarmonQuest,Guest,,
Gillian Jacobs,HarmonQuest,Guest,,
Rory Scovel,HarmonQuest,Guest,,
Aparna Nancherla,HarmonQuest,Guest,,
Paul Scheer,HarmonQuest,Guest,,
Patton Oswalt,HarmonQuest,Guest,,
Janet Varney,HarmonQuest,Guest,,
Jason Mantzoukas,HarmonQuest,Guest,,
Elizabeth Olsen,HarmonQuest,Guest,,
Rob Corddry,HarmonQuest,Guest,,
Kumail Nanjiani,HarmonQuest,Guest,,
Matt Gourley,HarmonQuest,Guest,,
Kate Micucci,HarmonQuest,Guest,,
Tawny Newsome,HarmonQuest,Guest,,
Reggie Watts,HarmonQuest,Guest,,
Joel Kim Booster,HarmonQuest,Guest,,
Jared Logan,HarmonQuest,Guest,,
D'Arcy Carden,HarmonQuest,Guest,,
Jessica McKenna,HarmonQuest,Guest,,
Carl Tart,HarmonQuest,Guest,,
Tom Kenny,HarmonQuest,Guest,,
,,,,
Brennan Lee Mulligan,Dimension 20,DM,,
Emily Axford,Dimension 20,Player,,
Zac Oyama,Dimension 20,Player,,
Siobhan Thompson,Dimension 20,Player,,
Lou Wilson,Dimension 20,Player,,
Ally Beardsley,Dimension 20,Player,,
"Brian ""Murph"" Murphy",Dimension 20,Player,,
Rekha Shankar,Dimension 20,Guest,,
Matthew Mercer,Dimension 20,Guest,,
Amy Vorpahl,Dimension 20,Guest,,
Mike Trapp,Dimension 20,Guest,,
Erika Ishii,Dimension 20,Guest,,
Ify Nwadiwe,Dimension 20,Guest,,
Travis McElroy,Dimension 20,Guest,,
Justin McElroy,Dimension 20,Guest,,
Griffin McElroy,Dimension 20,Guest,,
Clint McElroy,Dimension 20,Guest,,
Jessica Ross,Dimension 20,Guest,,
Lily Du,Dimension 20,Guest,,
Brian David Gilbert,Dimension 20,Guest,,
Emily Axford,Dimension 20,Guest,,
Griffin McElroy,Dimension 20,Guest,,
,,,,
Joe Manganiello,Force Grey: Survive the Tomb,Player,Yes,
Deborah Ann Woll,Force Grey: Survive the Tomb,Player,Yes,
Dylan Sprouse,Force Grey: Survive the Tomb,Player,Yes,
Utkarsh Ambudkar,Force Grey: Survive the Tomb,Player,Yes,
Marisha Ray,Force Grey: Survive the Tomb,Player,Yes,
Brian Posehn,Force Grey: Survive the Tomb,Player,Yes,
Matthew Mercer,Force Grey: Survive the Tomb,DM,Yes,
,,,,
Matthew Mercer,Force Grey,DM,,
Utkarsh Ambudkar,Force Grey,Player,,
Brian Posehn,Force Grey,Player,,
Dylan Sprouse,Force Grey,Player,,
Joe Manganiello,Force Grey,Player,,
Deborah Ann Woll,Force Grey,Player,,
Shelby Fero,Force Grey,Player,,
Ashley Johnson,Force Grey,Player,,
Jonah Ray,Force Grey,Player,,
Chris Hardwick,Force Grey,Player,,
Emily V Gordon ,Force Grey,Player,,
,,,,
Sujata Day,"Girls, Guts, Glory",Player,,https://www.girlsgutsgloryrpg.com/
Kimberly Hidalgo,"Girls, Guts, Glory",DM,,https://www.girlsgutsgloryrpg.com/
Alice Greczyn,"Girls, Guts, Glory",Player,,https://www.girlsgutsgloryrpg.com/
Allie Gonino,"Girls, Guts, Glory",Player,,https://www.girlsgutsgloryrpg.com/
Erika Fermina,"Girls, Guts, Glory",Player,,https://www.girlsgutsgloryrpg.com/
Rachel Seeley,"Girls, Guts, Glory",Player,,https://www.girlsgutsgloryrpg.com/
Kelly Lynne D'Angelo,"Girls, Guts, Glory",Player,,https://www.girlsgutsgloryrpg.com/
Kelen Coleman,"Girls, Guts, Glory",Player,,https://www.girlsgutsgloryrpg.com/
,,,,
Anna Prosser,Nights of Eveningstar,Player,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYqf4OceFOABxZzRbQ5mJ33j
Mark Hulmes,Nights of Eveningstar,DM,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYqf4OceFOABxZzRbQ5mJ33j
Mica Burton,Nights of Eveningstar,Player,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYqf4OceFOABxZzRbQ5mJ33j
Nathan Sharp,Nights of Eveningstar,Player,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYqf4OceFOABxZzRbQ5mJ33j
Jonathan Indovino,Nights of Eveningstar,Player,,https://www.youtube.com/playlist?list=PLfS8QgUdeGYqf4OceFOABxZzRbQ5mJ33j
,,,,
Chris Perkins,Red Nose Day Game - D&D Live 2020,DM,Yes,https://www.youtube.com/watch?v=YmQO8axrQ5M
